Name,RA,DEC,z,K0,K100,alpha,Tcl,Lbol,UL??,LHa,UL?,Lrad
1E0657_56,104.62344583,-55.94438611,0.296,307.45,18.55,1.88,11.64,52.8,?,0.0,<,8.34
2A_0335+096,54.671270833,9.96685,0.0347,7.14,138.64,1.52,2.88,9.77,=,2.58,=,1.12
2PIGG_J0011.5-2850,2.8400958333,-28.85401111,0.0753,101.98,214.68,0.84,5.86,2.17,?,0.0,=,1.68
2PIGG_J2227.0-3041,336.97733333,-30.57634444,0.0729,17.13,113.95,1.37,2.79,0.81,?,0.0,=,32.4
3C_28.0,13.960004166,26.410130555,0.1952,23.85,107.82,1.79,3.9,4.83,?,0.0,=,1630.0
3C_295,212.8345,52.202930555,0.4641,14.54,81.95,1.47,6.51,7.01,=,232.0,=,203000.0
3C_388,281.00985416,45.558141666,0.0917,17.03,214.3,0.76,3.5,0.529,?,0.0,=,1290.0
4C_55.16,128.72884583,55.572541666,0.242,23.27,161.6,1.29,4.21,5.97,=,800.0,=,16100.0
ABELL_13,3.4078458333,-19.50252777,0.094,182.64,181.95,1.37,6.51,1.42,?,0.0,<,0.609
ABELL_68,9.2769791666,9.1589666666,0.2546,217.34,142.31,0.89,7.99,12.8,<,8.3,<,4.34
ABELL_85,10.460025,-9.302997222,0.0558,12.5,158.83,1.12,6.9,5.3,=,0.431,=,4.61
ABELL_119,14.063125,-1.249916666,0.0442,233.85,191.29,0.75,6.04,1.41,<,0.016,<,0.125
ABELL_133,15.673983333,-21.88049722,0.0558,17.26,170.12,1.59,3.71,0.828,=,0.653,<,0.203
ABELL_141,16.393270833,-24.63299444,0.23,205.03,42.56,1.78,5.31,0.0,?,0.0,<,3.44
ABELL_160,18.252883333,15.487522222,0.0447,155.78,116.26,0.98,2.7,0.0,<,0.213,<,0.102
ABELL_193,21.281916666,8.6991888888,0.0485,185.46,35.96,2.23,2.5,0.0,<,0.251,=,1.56
ABELL_209,22.969020833,-13.610775,0.206,105.5,149.31,0.8,8.28,11.0,?,0.0,<,3.38
ABELL_222,24.394008333,-12.99302222,0.213,126.02,82.25,1.0,4.6,10.5,<,5.62,<,2.66
ABELL_223,24.483179166,-12.81959166,0.207,183.87,160.65,1.24,5.28,11.2,<,5.29,=,19.8
ABELL_262,28.1929125,36.153277777,0.0164,10.57,205.09,0.98,2.18,1.05,?,0.0,=,0.435
ABELL_267,28.176120833,1.0125916666,0.23,168.56,51.81,1.82,6.79,8.7,<,6.65,<,4.34
ABELL_368,39.365166666,-26.50805277,0.22,50.87,144.12,1.21,5.62,0.0,?,0.0,=,6.48
ABELL_370,39.971537499,-1.576933333,0.3747,321.92,78.72,1.24,7.2,12.1,?,0.0,<,13.4
ABELL_383,42.014016666,-3.529080555,0.1871,13.02,110.9,1.4,3.93,5.39,?,0.0,=,44.6
ABELL_399,44.472425,13.025238888,0.0716,153.2,204.34,0.74,5.8,4.4,<,0.561,<,0.343
ABELL_400,44.423345833,6.0243361111,0.024,162.81,35.26,1.76,2.31,0.851,<,0.06,<,0.028
ABELL_401,44.737166666,13.570697222,0.0745,166.86,81.79,1.4,8.07,8.39,<,0.609,<,0.372
ABELL_426,49.950808333,41.511313888,0.0179,19.38,119.89,1.74,6.79,50.0,=,0.146,=,143.0
ABELL_478,63.355604166,10.465319444,0.0883,7.81,122.0,0.97,7.07,16.7,=,6.03,=,7.87
ABELL_496,68.408491666,-13.26101388,0.0328,8.91,216.33,1.27,3.89,0.575,=,0.718,=,3.27
ABELL_520,73.542929166,2.9268,0.202,325.54,10.22,2.09,7.4,13.1,<,5.01,<,3.24
ABELL_521,73.526404166,-10.22135555,0.2533,259.87,245.43,1.91,6.74,9.85,?,0.0,<,4.29
ABELL_539,79.155562499,6.4403277777,0.0288,22.59,493.32,1.05,3.24,1.82,?,0.0,<,0.041
ABELL_562,103.33968333,69.330886111,0.11,202.06,34.61,1.09,3.04,2.14,?,0.0,<,0.677
ABELL_576,110.37664166,55.761652777,0.0385,95.29,221.21,1.41,4.09,0.47,<,0.157,<,0.094
ABELL_586,113.08474583,31.632941666,0.171,94.75,92.06,1.25,8.7,8.61,<,3.5,=,4.91
ABELL_611,120.23679999,36.056691666,0.288,124.93,164.35,1.25,6.69,10.9,<,10.9,<,7.26
ABELL_644,124.35510416,-7.511119444,0.0698,132.36,85.91,1.55,6.6,7.61,<,0.346,<,0.325
ABELL_665,127.74677499,65.838905555,0.181,134.57,106.34,1.06,8.3,13.5,<,3.96,<,2.53
ABELL_697,130.73978749,36.366013888,0.282,166.67,108.16,1.1,9.06,26.3,<,10.4,<,6.92
ABELL_744,136.83522916,16.651716666,0.0729,63.42,229.33,0.79,2.5,0.891,<,6.49,<,0.282
ABELL_754,137.32578333,-9.685988888,0.0543,270.39,69.67,1.48,9.94,33.1,<,0.219,<,0.192
ABELL_773,139.469025,51.727272222,0.217,244.32,41.1,1.6,8.53,13.0,<,5.86,<,3.8
ABELL_907,149.59144166,-11.06409166,0.1527,23.38,187.01,1.05,5.04,6.26,?,0.0,=,47.7
ABELL_963,154.26559999,39.046991666,0.2056,55.77,169.12,0.9,6.6,10.7,<,5.21,<,3.37
ABELL_1060,159.17844999,-27.52835,0.0125,72.0,178.34,1.25,3.2,0.012,?,0.0,<,0.01
ABELL_1063S,342.18455833,-44.53010277,0.354,169.59,42.21,1.72,11.1,71.5,?,0.0,<,21.1
ABELL_1068,160.18549999,39.952855555,0.1375,9.11,108.8,1.31,3.87,4.77,=,226.0,=,12.8
ABELL_1201,168.22703749,13.435766666,0.1688,64.81,198.94,1.03,6.9,4.08,<,3.41,<,2.17
ABELL_1204,168.33507916,17.594013888,0.1706,15.31,81.83,1.4,3.78,3.98,=,6.38,<,2.22
ABELL_1240,170.90982083,43.096758333,0.159,462.4,8.27,2.37,4.77,0.0,?,0.0,<,1.51
ABELL_1361,175.91515416,46.355669444,0.1171,18.64,117.86,1.06,4.08,2.39,=,7.75,=,267.0
ABELL_1413,178.82455416,23.406066666,0.1426,64.03,123.19,1.19,8.9,10.2,<,2.38,<,1.6
ABELL_1423,179.32192916,33.6104,0.213,68.32,124.17,1.2,8.5,7.07,<,5.62,<,4.6
ABELL_1446,180.51559999,58.038313888,0.1035,152.38,119.5,0.67,4.0,0.0,?,0.0,<,0.594
ABELL_1569,189.10839583,16.538280555,0.0735,110.1,149.14,0.51,2.51,0.0,?,0.0,<,0.287
ABELL_1576,189.24280833,63.187188888,0.279,186.24,98.35,1.38,8.65,31.6,?,0.0,=,39.4
ABELL_1644,194.29860416,-17.40912777,0.0471,19.03,585.67,1.76,4.6,0.0,=,0.522,=,5.63
ABELL_1650,194.67291249,-1.762311111,0.0843,37.96,159.89,0.84,5.89,4.37,<,0.05,<,0.484
ABELL_1651,194.84512499,-4.196072222,0.084,89.46,115.53,0.97,7.0,6.71,<,0.781,<,0.852
ABELL_1664,195.92759166,-24.24488611,0.1276,14.4,141.84,1.7,3.5,3.15,?,0.0,=,17.1
ABELL_1689,197.87338333,-1.341302777,0.1843,78.44,111.77,1.35,10.1,28.1,<,0.28,<,2.64
ABELL_1736,201.70605416,-27.16336944,0.0338,150.35,127.25,0.99,3.45,3.47,<,0.007,<,0.072
ABELL_1758,203.20165833,50.542369444,0.2792,230.84,144.04,1.21,7.95,21.1,<,10.2,<,6.76
ABELL_1763,203.82482083,40.998833333,0.1866,214.69,70.8,1.37,6.9,9.33,<,4.22,<,2.71
ABELL_1795,207.22000833,26.589875,0.0625,18.99,130.38,1.18,7.8,7.81,=,8.77,=,95.2
ABELL_1835,210.25812916,2.8786611111,0.2532,11.44,111.71,1.26,7.65,39.6,=,504.0,=,84.9
ABELL_1914,216.51274999,37.824400000,0.1712,107.16,131.15,1.05,10.5,26.4,<,3.51,<,2.24
ABELL_1942,219.59115833,3.6702694444,0.224,107.73,194.08,0.66,5.12,2.3,<,6.28,=,1220.0
ABELL_1991,223.63174999,18.644855555,0.0587,1.53,152.21,1.09,5.4,0.451,=,0.596,=,3.25
ABELL_1995,223.23920833,58.049122222,0.3186,374.35,26.81,2.08,8.6,10.3,?,0.0,<,7.29
ABELL_2029,227.73391249,5.744575,0.0765,10.5,163.58,0.95,7.38,15.6,<,0.643,=,82.2
ABELL_2034,227.55207499,33.510991666,0.113,232.64,85.07,1.14,7.15,6.5,<,1.45,<,0.904
ABELL_2052,229.185475,7.0213944444,0.0353,9.45,164.72,1.25,2.98,5.13,=,1.38,=,174.0
ABELL_2063,230.77021249,8.6055999999,0.0351,53.51,129.01,1.07,3.61,4.27,<,0.13,=,0.455
ABELL_2065,230.6229875,27.706369444,0.073,43.95,195.29,1.02,5.35,2.95,<,0.584,<,0.357
ABELL_2069,231.04739999,29.871950000,0.116,453.25,54.57,1.47,7.9,3.86,<,1.54,<,0.957
ABELL_2104,235.03387916,-3.304172222,0.1554,160.61,210.1,1.2,9.31,6.98,<,2.85,<,1.81
ABELL_2107,234.91297083,21.782683333,0.0411,21.24,396.13,0.91,3.82,3.02,<,0.179,<,0.079
ABELL_2111,234.91932083,34.424447222,0.23,107.36,193.98,0.65,8.02,7.51,<,6.65,<,4.34
ABELL_2124,236.24637916,36.109475,0.0658,98.31,260.81,0.9,4.41,0.464,<,0.471,<,0.228
ABELL_2125,235.30897499,66.265888888,0.2465,225.17,32.9,1.35,3.2,0.787,?,0.0,<,4.53
ABELL_2142,239.587,27.228947222,0.0898,68.06,120.57,1.22,8.24,75.9,<,0.898,<,0.553
ABELL_2147,240.5709375,15.974533333,0.0356,151.86,136.19,0.55,4.45,0.726,<,0.134,=,0.41
ABELL_2151,241.14952916,17.721488888,0.0366,0.37,135.18,0.56,2.9,1.41,<,0.141,=,0.059
ABELL_2163,243.94043749,-6.150172222,0.1695,437.98,72.21,1.87,12.12,49.3,?,0.0,<,2.19
ABELL_2187,246.05840833,41.243758333,0.1833,78.63,170.71,0.96,7.3,12.6,?,0.0,?,0.0
ABELL_2199,247.15937083,39.551188888,0.03,13.27,331.46,1.35,4.14,0.808,=,1.42,=,83.2
ABELL_2204,248.19549999,5.5757944444,0.1524,9.74,166.19,1.41,6.97,23.0,?,0.0,=,38.1
ABELL_2218,248.96179583,66.211752777,0.1713,288.56,10.72,2.35,6.7,8.46,<,3.52,<,2.24
ABELL_2219,250.08379999,46.7119,0.2256,411.57,17.01,1.97,9.81,38.3,<,6.37,<,4.15
