Cluster Name,RA,DEC,z,M_500,M_500_Error
Abell 383,42.01409,-3.5292641,0.188,0.61,0.07
Abell 209,22.968952,-13.611272,0.206,0.63,0.07
Abell 1423,179.32234,33.610973,0.213,-99,-99
Abell 2261,260.61336,32.132465,0.225,0.95,0.16
RX J2129+0005,322.41649,0.0892232,0.234,0.43,0.04
Abell 611,120.23674,36.056565,0.288,0.57,0.04
MS 2137-2353,325.06313,-23.661136,0.313,0.68,0.05
RXC J2248-4431,342.18322,-44.530908,0.348,0.76,0.12
MACS J1115+0129,168.96627,1.4986116,0.352,0.54,0.08
MACS J1931-26,292.95608,-26.575857,0.352,0.45,0.04
RX J1532.8+3021,233.2241,30.349844,0.363,0.34,0.08
MACS  J1720+3536,260.0698,35.607266,0.391,0.53,0.08
MACS J0429−02,67.400028,-2.8852066,0.399,0.53,0.13
MACS J1206−08,181.55065,-8.8009395,0.439,0.6,0.11
MACS J0329−02,52.423199,-2.1962279,0.45,0.5,0.09
RX J1347−1145,206.87756,-11.75261,0.451,0.79,0.19
MACS J1311−03,197.75751,-3.1777029,0.494,0.32,0.19
MACS J1423+24,215.94949,24.078459,0.545,0.41,0.06
MACS J0744+39,116.22,39.457408,0.686,0.49,0.04
CL J1226+3332,186.7427,33.546834,0.89,1.08,0.09
