expr1,Target name,RA,DEC,Instrument,Observing Mode,Access Status,Processing Level,Start Time,duration
8536081,0013-4906,3.338474404,-49.11791708,SPIRE,SpirePhotoSmallScan,TRUE,LEVEL2_PROCESSED,1/3/2013 10:41,169
8531003,0014-4036,3.733574479,-40.59889385,SPIRE,SpirePhotoSmallScan,TRUE,LEVEL2_PROCESSED,5/20/2012 15:38,169
8536049,0014-4952,3.706426605,-49.87627237,SPIRE,SpirePhotoSmallScan,TRUE,LEVEL2_PROCESSED,1/3/2013 10:45,169
8531002,0025-4133,6.481298239,-41.54876608,SPIRE,SpirePhotoSmallScan,TRUE,LEVEL2_PROCESSED,5/20/2012 15:43,169
8536074,0027-4742,6.925819845,-47.71301662,SPIRE,SpirePhotoSmallScan,TRUE,LEVEL2_PROCESSED,1/3/2013 10:28,169
8536190,0033-6326,8.494236266,-63.44804844,SPIRE,SpirePhotoSmallScan,TRUE,LEVEL2_PROCESSED,1/3/2013 16:52,169
8536088,0037-5047,9.454594478,-50.79650265,SPIRE,SpirePhotoSmallScan,TRUE,LEVEL2_PROCESSED,1/3/2013 10:10,445
8536062,0048-5244,12.10089857,-52.74629527,SPIRE,SpirePhotoSmallScan,TRUE,LEVEL2_PROCESSED,1/3/2013 10:06,169
8536539,0058-6145,14.5923822,-61.76710887,SPIRE,SpirePhotoSmallScan,TRUE,LEVEL2_PROCESSED,1/21/2013 3:49,169
8536105,0102-4603,15.67679688,-46.06200273,SPIRE,SpirePhotoSmallScan,TRUE,LEVEL2_PROCESSED,1/3/2013 8:22,169
8614439,0102-4915,15.7433457,-49.25772804,SPIRE,SpirePhotoSmallScan,TRUE,LEVEL3_PROCESSED,1/3/2013 8:27,169
8536099,0104-4351,16.1387157,-43.86582363,SPIRE,SpirePhotoSmallScan,TRUE,LEVEL2_PROCESSED,1/3/2013 7:49,169
8536630,0106-5943,16.62599791,-59.72490668,SPIRE,SpirePhotoSmallScan,TRUE,LEVEL2_PROCESSED,1/21/2013 3:45,169
8536114,0110-4445,17.59383874,-44.76142816,SPIRE,SpirePhotoSmallScan,TRUE,LEVEL2_PROCESSED,1/3/2013 7:53,169
8531887,0114-4123,18.66030351,-41.39659661,SPIRE,SpirePhotoSmallScan,TRUE,LEVEL2_PROCESSED,7/11/2012 22:06,169
8536642,0117-6032,19.37829249,-60.54542979,SPIRE,SpirePhotoSmallScan,TRUE,LEVEL2_PROCESSED,1/21/2013 3:41,169
8531860,0123-4821,20.77031279,-48.3542879,SPIRE,SpirePhotoSmallScan,TRUE,LEVEL2_PROCESSED,7/11/2012 21:52,169
8529724,0129-6432,22.41691266,-64.54243223,SPIRE,SpirePhotoSmallScan,TRUE,LEVEL2_PROCESSED,3/1/2012 10:05,169
8536613,0131-5604,22.94360966,-56.08193495,SPIRE,SpirePhotoSmallScan,TRUE,LEVEL2_PROCESSED,1/21/2013 3:28,169
8529748,0133-6433,23.39414106,-64.56750593,SPIRE,SpirePhotoSmallScan,TRUE,LEVEL2_PROCESSED,3/1/2012 10:08,169
8536529,0142-5032,25.56084976,-50.5434783,SPIRE,SpirePhotoSmallScan,TRUE,LEVEL2_PROCESSED,1/21/2013 3:19,169
8529802,0151-5954,27.83970028,-59.90566025,SPIRE,SpirePhotoSmallScan,TRUE,LEVEL2_PROCESSED,3/1/2012 10:00,169
8536587,0152-5303,28.24584778,-53.05578363,SPIRE,SpirePhotoSmallScan,TRUE,LEVEL2_PROCESSED,1/21/2013 3:23,169
8614308,0156-5541,29.02593035,-55.69742652,SPIRE,SpirePhotoSmallScan,TRUE,LEVEL3_PROCESSED,3/1/2012 9:46,169
8536517,0200-4852,30.15789927,-48.8759426,SPIRE,SpirePhotoSmallScan,TRUE,LEVEL2_PROCESSED,1/21/2013 3:14,169
8529758,0205-5829,31.43476728,-58.48937422,SPIRE,SpirePhotoSmallScan,TRUE,LEVEL2_PROCESSED,3/1/2012 9:51,445
8536577,0212-4656,33.11822233,-46.95024494,SPIRE,SpirePhotoSmallScan,TRUE,LEVEL2_PROCESSED,1/21/2013 2:58,169
8614451,0217-4310,34.4220875,-43.17929879,SPIRE,SpirePhotoSmallScan,TRUE,LEVEL3_PROCESSED,1/21/2013 2:33,169
8614482,0218-4315,34.58756938,-43.25831795,SPIRE,SpirePhotoSmallScan,TRUE,LEVEL3_PROCESSED,1/21/2013 2:37,169
8529571,0230-6028,37.63151305,-60.47345709,SPIRE,SpirePhotoSmallScan,TRUE,LEVEL2_PROCESSED,3/3/2012 19:32,169
8529666,0231-5403,37.7657106,-54.06067539,SPIRE,SpirePhotoSmallScan,TRUE,LEVEL2_PROCESSED,3/1/2012 9:29,169
8529735,0232-5257,38.17397582,-52.96055618,SPIRE,SpirePhotoSmallScan,TRUE,LEVEL2_PROCESSED,3/1/2012 9:26,169
8614314,0233-5819,38.24756199,-58.33103986,SPIRE,SpirePhotoSmallScan,TRUE,LEVEL3_PROCESSED,3/3/2012 19:44,169
8529615,0236-4937,39.23316948,-49.63543712,SPIRE,SpirePhotoSmallScan,TRUE,LEVEL2_PROCESSED,3/3/2012 19:50,169
8529622,0240-5946,40.15320519,-59.77451712,SPIRE,SpirePhotoSmallScan,TRUE,LEVEL2_PROCESSED,3/3/2012 19:36,169
8529625,0243-4833,40.9021109,-48.56055158,SPIRE,SpirePhotoSmallScan,TRUE,LEVEL2_PROCESSED,3/3/2012 19:54,169
8529535,0243-5930,40.85314288,-59.51743344,SPIRE,SpirePhotoSmallScan,TRUE,LEVEL2_PROCESSED,3/3/2012 19:40,169
8529582,0252-4824,43.17724067,-48.41488991,SPIRE,SpirePhotoSmallScan,TRUE,LEVEL2_PROCESSED,3/3/2012 19:58,169
8614307,0254-5857,43.56510082,-58.95733316,SPIRE,SpirePhotoSmallScan,TRUE,LEVEL3_PROCESSED,3/1/2012 9:13,169
8529655,0254-6051,43.59314467,-60.868706,SPIRE,SpirePhotoSmallScan,TRUE,LEVEL2_PROCESSED,3/3/2012 19:28,169
8529707,0256-5617,44.09359155,-56.30180794,SPIRE,SpirePhotoSmallScan,TRUE,LEVEL2_PROCESSED,3/1/2012 9:21,169
8529742,0257-5732,44.34438398,-57.54700778,SPIRE,SpirePhotoSmallScan,TRUE,LEVEL2_PROCESSED,3/1/2012 9:17,169
8529572,0304-4921,46.04967339,-49.36104793,SPIRE,SpirePhotoSmallScan,TRUE,LEVEL2_PROCESSED,3/3/2012 20:02,169
8529953,0307-5042,46.9384469,-50.71095769,SPIRE,SpirePhotoSmallScan,TRUE,LEVEL2_PROCESSED,3/3/2012 11:41,169
8529605,0307-6226,46.82503842,-62.43832064,SPIRE,SpirePhotoSmallScan,TRUE,LEVEL2_PROCESSED,3/3/2012 19:24,169
8529560,0310-4646,47.61622216,-46.78603173,SPIRE,SpirePhotoSmallScan,TRUE,LEVEL2_PROCESSED,3/3/2012 20:07,169
8529698,0317-5935,49.31378054,-59.59075424,SPIRE,SpirePhotoSmallScan,TRUE,LEVEL2_PROCESSED,3/1/2012 9:08,169
8529641,0324-6236,51.04502375,-62.60665508,SPIRE,SpirePhotoSmallScan,TRUE,LEVEL2_PROCESSED,3/3/2012 19:20,169
8614375,0330-5227,52.71799647,-52.46961264,SPIRE,SpirePhotoSmallScan,TRUE,LEVEL3_PROCESSED,3/3/2012 10:17,169
8529789,0334-4659,53.53757876,-46.99466762,SPIRE,SpirePhotoSmallScan,TRUE,LEVEL2_PROCESSED,3/1/2012 8:21,169
8529647,0334-4815,53.69852159,-48.26555125,SPIRE,SpirePhotoSmallScan,TRUE,LEVEL2_PROCESSED,3/1/2012 8:25,169
8529883,0344-5452,56.08200261,-54.87805231,SPIRE,SpirePhotoSmallScan,TRUE,LEVEL2_PROCESSED,3/3/2012 10:25,169
8529937,0345-6419,56.2444303,-64.33771442,SPIRE,SpirePhotoSmallScan,TRUE,LEVEL2_PROCESSED,3/3/2012 11:00,445
8529931,0346-5438,56.71557028,-54.65307595,SPIRE,SpirePhotoSmallScan,TRUE,LEVEL2_PROCESSED,3/3/2012 10:21,169
8529595,0348-4514,57.06564235,-45.25284078,SPIRE,SpirePhotoSmallScan,TRUE,LEVEL2_PROCESSED,3/3/2012 20:12,169
8529645,0350-4109,57.74493616,-41.15694835,SPIRE,SpirePhotoSmallScan,TRUE,LEVEL2_PROCESSED,3/3/2012 20:42,169
8529811,0352-5647,58.2315793,-56.80458425,SPIRE,SpirePhotoSmallScan,TRUE,LEVEL2_PROCESSED,3/1/2012 8:51,169
8529946,0354-5904,58.55545813,-59.07943533,SPIRE,SpirePhotoSmallScan,TRUE,LEVEL2_PROCESSED,3/3/2012 10:29,169
8529885,0404-4418,61.19209558,-44.30734628,SPIRE,SpirePhotoSmallScan,TRUE,LEVEL2_PROCESSED,3/3/2012 9:18,169
8529884,0405-4648,61.28148297,-46.81152249,SPIRE,SpirePhotoSmallScan,TRUE,LEVEL2_PROCESSED,3/3/2012 9:42,169
